loan_amount,country
975,Albania
975,Albania
1450,Albania
2425,Albania
975,Albania
500,Albania
1950,Albania
1975,Albania
1975,Albania
2450,Albania
1475,Albania
1475,Albania
1975,Albania
1475,Albania
1975,Albania
1000,Albania
1200,Albania
2500,Albania
1000,Albania
2475,Albania
1500,Albania
1000,Albania
1000,Albania
1975,Albania
1000,Albania
1000,Albania
2450,Albania
1000,Albania
1000,Albania
1000,Albania
2175,Albania
1500,Albania
1000,Albania
2475,Albania
1200,Albania
1000,Albania
1500,Albania
1975,Albania
600,Albania
2450,Albania
2450,Albania
2450,Albania
2925,Albania
975,Albania
1475,Albania
1475,Albania
500,Albania
1475,Albania
500,Albania
975,Albania
2450,Albania
1475,Albania
2925,Albania
1950,Albania
975,Albania
1475,Albania
500,Albania
1475,Albania
975,Albania
975,Albania
975,Albania
975,Albania
975,Albania
1450,Albania
975,Albania
1925,Albania
1925,Albania
1925,Albania
1900,Albania
950,Albania
950,Albania
575,Albania
2300,Albania
925,Albania
475,Albania
2275,Albania
2275,Albania
2300,Albania
1825,Albania
1375,Albania
925,Albania
650,Albania
925,Albania
2725,Albania
925,Albania
1375,Albania
925,Albania
2250,Albania
1800,Albania
900,Albania
1350,Albania
900,Albania
900,Albania
1000,Albania
900,Albania
1350,Albania
1350,Albania
1800,Albania
900,Albania
1350,Albania
1350,Albania
550,Albania
2250,Albania
2250,Albania
450,Albania
2225,Albania
900,Albania
975,Albania
1775,Albania
450,Albania
875,Albania
875,Albania
875,Albania
1325,Albania
1275,Albania
1025,Albania
2075,Albania
1425,Albania
2475,Albania
1675,Albania
500,Albania
2450,Albania
1625,Albania
2025,Albania
425,Albania
975,Albania
825,Albania
2050,Albania
425,Albania
1225,Albania
1600,Albania
800,Albania
1300,Albania
400,Albania
400,Albania
1975,Albania
1275,Albania
1550,Albania
1900,Albania
775,Albania
2300,Albania
2325,Albania
2325,Albania
1950,Albania
400,Albania
1550,Albania
1400,Albania
875,Albania
1525,Albania
1150,Albania
1525,Albania
1700,Albania
2325,Albania
1175,Albania
2550,Albania
800,Albania
1200,Albania
1200,Albania
1600,Albania
475,Albania
1600,Albania
1600,Albania
1200,Albania
1600,Albania
2725,Albania
1625,Albania
675,Albania
800,Albania
1975,Albania
800,Albania
1600,Albania
425,Albania
825,Albania
2425,Albania
425,Albania
2500,Albania
1175,Albania
1575,Albania
800,Albania
1025,Albania
800,Albania
875,Albania
1200,Albania
1200,Albania
1200,Albania
800,Albania
950,Albania
1700,Albania
1200,Albania
2500,Albania
825,Albania
2250,Albania
825,Albania
575,Albania
825,Albania
2050,Albania
425,Albania
2025,Albania
975,Albania
1050,Albania
1475,Albania
825,Albania
825,Albania
2050,Albania
2050,Albania
2400,Albania
1200,Albania
1200,Albania
1600,Albania
950,Albania
1600,Albania
800,Albania
775,Albania
2325,Albania
1950,Albania
775,Albania
1175,Albania
800,Albania
800,Albania
1200,Albania
2375,Albania
400,Albania
800,Albania
400,Albania
2350,Albania
2125,Albania
800,Albania
400,Albania
400,Albania
1200,Albania
800,Albania
1200,Albania
1200,Albania
1975,Albania
950,Albania
800,Albania
825,Albania
425,Albania
575,Albania
