MaxwellSales,MaxwellPrice,MaxwellDisplay,MaxwellFeature
3998.65,2.54,0,0
4537.35,2.29,0,0
7075,1.71,1,1
5072.19,2.21,0,1
4206.76,2.33,0,0
5749.31,2.3,0,0
4134.32,2.81,0,0
9984.11,1.23,0,1
6727.82,1.92,0,0
2569.56,2.68,0,0
7847.89,1.47,1,1
5456.39,2.06,0,1
3126.81,2.44,0,0
4857.06,2.15,1,0
5103.51,2.31,0,0
3455.08,2.59,1,0
4293.06,2.57,0,0
14426.66,1.36,1,1
7985.39,1.48,0,0
4646.24,2.42,1,1
4315.19,2.38,0,0
3867.07,2.55,0,0
4766.93,2.48,0,0
5471.76,2.13,0,1
10101.79,1.42,1,1
7200.07,1.82,0,1
4110.09,2.47,0,0
3367.48,2.62,0,0
4215.08,2.47,1,0
3797.52,2.55,0,0
3937.44,2.44,0,1
4946.49,2.3,0,1
9800.31,1.83,1,1
4810.02,2.1,1,1
4165.15,2.3,0,0
3677.41,2.41,0,0
9619.8,1.53,1,1
3570.27,2.37,0,0
5752.2,2.17,1,1
3190.53,2.49,0,0
5193.27,2.43,0,0
3289.26,2.74,0,0
4495.83,2.44,0,0
4319.68,2.75,0,0
3482.54,2.67,0,0
2280.31,3.24,0,0
4582.46,2.56,1,1
4535.4,2.54,0,0
3277.24,2.9,0,0
3712.15,2.82,0,0
9408.29,1.78,1,1
4768.59,2.31,0,0
3791.52,2.59,0,0
4546.15,2.83,0,0
5227.73,2.57,0,0
8479.69,1.63,1,1
4486.18,2.14,0,0
6722.01,1.8,1,1
5852.03,2.15,0,0
4351.53,2.26,0,0
3986.59,2.25,0,0
5355.02,2.11,1,1
3703.64,2.36,0,0
3522.88,2.53,0,0
9884.81,1.56,1,1
4646.24,2.1,0,0
5648.3,2.08,1,0
4554.9,2.34,0,0
3635.35,2.54,0,0
4529.63,2.45,0,0
6851.43,1.95,1,1
3706.92,2.16,0,0
3694.58,2.79,0,0
4097.94,2.42,0,0
4259.62,2.42,0,0
4392.31,2.52,0,0
7898.36,1.69,1,1
6740.77,1.81,1,1
3549.93,2.16,0,0
5075.27,2.26,0,0
4613.42,2.41,0,0
4682.65,2.43,0,0
4080.83,2.34,0,0
4876.45,1.8,1,0
3729.13,2.34,0,0
6682.84,1.8,1,1
5599.43,2.18,0,0
12962.76,1.21,1,1
8307.12,1.55,1,1
3310.75,2.68,0,0
3965.87,2.61,0,0
3717.51,2.57,0,0
4693.35,2.49,0,0
5311.81,2.53,0,0
9753.56,1.44,1,1
4822.81,2.02,0,0
4512.32,2.25,1,0
4220.34,2.25,0,0
5491.09,2.1,0,1
3895.75,2.4,0,0
6100.79,2.13,1,1
5395.55,2.05,0,0
3820.33,2.35,0,0
4557.11,2.31,0,0
