NORTH_SOUTH,PRICE
South,1177000
South,1150000
South,778380
South,749000
South,749000
South,699000
South,699000
South,675000
South,675000
South,630000
South,"629,000"
South,345000
South,"339,000"
South,335000
South,333900
South,324900
South,309000
South,305000
South,290000
South,289990
South,289900
South,288310
South,285877
South,284900
South,210000
South,210000
South,117000
South,109000
North,1600000
North,1450000
North,"340,000"
North,"334,900"
North,329900
North,329900
North,329000
North,299900
North,299900
North,299900
North,299900
North,299900
North,299000
North,"295,900"
North,204900
North,199900
North,179900
North,177500
North,159900
North,147500
North,139900
North,135000
North,129900
North,125000
North,99900
,
,
,
,
,
